"","name","age","marketvalue"
"439","Emil Forsberg",29,"¢æ20.00m"
"440","Stefan Savic",29,"¢æ20.00m"
"441","Chris Smalling",31,"¢æ20.00m"
"442","William Carvalho",28,"¢æ20.00m"
"443","Kieran Trippier",30,"¢æ20.00m"
"444","Isco",28,"¢æ20.00m"
"445","Douglas Costa",30,"¢æ20.00m"
"446","Marcel Halstenberg",29,"¢æ20.00m"
"447","Sergio Canales",29,"¢æ20.00m"
"448","Pizzi",31,"¢æ20.00m"
"449","Cesar Azpilicueta",31,"¢æ20.00m"
"450","Henrikh Mkhitaryan",31,"¢æ20.00m"
"451","Toby Alderweireld",31,"¢æ20.00m"
"452","Mats Hummels",31,"¢æ20.00m"
"453","Dusan Tadic",32,"¢æ20.00m"
"454","Alessio Cragno",26,"¢æ20.00m"
"455","Daley Blind",30,"¢æ20.00m"
"456","Dodi Lukebakio",23,"¢æ19.00m"
"457","Viktor Tsygankov",23,"¢æ19.00m"
"458","Stanislav Lobotka",26,"¢æ19.00m"
"459","Oscar",29,"¢æ19.00m"
"460","Anthony Lopes",30,"¢æ19.00m"
"461","Willian",32,"¢æ19.00m"
"462","Paulinho",32,"¢æ18.50m"
"463","Antony",20,"¢æ18.00m"
"464","Thiago Almada",19,"¢æ18.00m"
"465","Darwin Nunez",21,"¢æ18.00m"
"466","Tariq Lamptey",20,"¢æ18.00m"
"467","Mohamed Ihattaren",18,"¢æ18.00m"
"468","Musa Barrow",22,"¢æ18.00m"
"469","Eberechi Eze",22,"¢æ18.00m"
"470","Myron Boadu",19,"¢æ18.00m"
"471","Raphinha",23,"¢æ18.00m"
"472","Calvin Stengs",21,"¢æ18.00m"
"473","Amadou Haidara",22,"¢æ18.00m"
"474","Exequiel Palacios",22,"¢æ18.00m"
"475","Eljif Elmas",21,"¢æ18.00m"
"476","Pablo Fornals",24,"¢æ18.00m"
"477","Florentino",21,"¢æ18.00m"
"478","Mason Holgate",24,"¢æ18.00m"
"479","Sander Berge",22,"¢æ18.00m"
"480","Valentin Rongier",25,"¢æ18.00m"
"481","Takehiro Tomiyasu",22,"¢æ18.00m"
"482","Manuel Lazzari",26,"¢æ18.00m"
"483","Christoph Baumgartner",21,"¢æ18.00m"
"484","Diego Rossi",22,"¢æ18.00m"
"485","Milot Rashica",24,"¢æ18.00m"
"486","Ainsley Maitland-Niles",23,"¢æ18.00m"
"487","Carles Alena",22,"¢æ18.00m"
"488","Ramy Bensebaini",25,"¢æ18.00m"
"489","David Brooks",23,"¢æ18.00m"
"490","Hans Hateboer",26,"¢æ18.00m"
"491","Aleksey Miranchuk",25,"¢æ18.00m"
"492","Otavio",25,"¢æ18.00m"
"493","Bryan Cristante",25,"¢æ18.00m"
"494","Kepa",26,"¢æ18.00m"
"495","Emerson",26,"¢æ18.00m"
"496","Nathan Redmond",26,"¢æ18.00m"
"497","Kerem Demirbay",27,"¢æ18.00m"
"498","Nikola Maksimovic",29,"¢æ18.00m"
"499","Leonardo Spinazzola",27,"¢æ18.00m"
"500","Marcos Alonso",29,"¢æ18.00m"
